CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,javax.activation,activation,1.1,137417,0,1534
c169565880f1ce1e9508b40d000b875f02d942ee,2008-12-20 00:08:02+00:00,MODIFY,c3p0,c3p0,0.9.1.2,183,0,2
0dcb3c4f345e4b023e6c37f01ed218fc2fbee52e,2016-11-21 19:02:32+01:00,MODIFY,com.mchange,c3p0,0.9.5.2,2,2,1
e24ea1fcbddf4654381bbb37b4310abc204d7a44,2019-03-26 16:45:15+01:00,MODIFY,com.mchange,c3p0,0.9.5.3,2,2,1
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,commons-beanutils,commons-beanutils,1.7.0,137417,0,1534
f0e4f2dbc1adc859fb448d364b17a60f65a8b4a0,2015-03-31 10:13:10+02:00,MODIFY,commons-beanutils,commons-beanutils,1.9.2,1,1,1
5553aeb878d4293f626e8afcf9321a2012572f7a,2016-11-21 19:02:31+01:00,MODIFY,commons-beanutils,commons-beanutils,1.9.3,1,1,1
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,commons-digester,commons-digester,1.8,137417,0,1534
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,commons-fileupload,commons-fileupload,1.1.1,137417,0,1534
5ab221f375ce43042e2e5f45fd16eb3bc13676bc,2010-07-12 13:12:11+00:00,MODIFY,commons-fileupload,commons-fileupload,1.2.1,3,3,1
69d6b375868b94cb977ca9fdfd5aaf2173a3b2aa,2010-08-10 14:22:29+00:00,MODIFY,commons-fileupload,commons-fileupload,1.2.2,11,5,2
b7e87c3b2747f22af060ca2f81c14cf4e9943c40,2016-11-21 19:02:32+01:00,MODIFY,commons-fileupload,commons-fileupload,1.3.2,18,1,2
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,commons-httpclient,commons-httpclient,3.0.1,137417,0,1534
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,commons-io,commons-io,1.3.1,137417,0,1534
5ab221f375ce43042e2e5f45fd16eb3bc13676bc,2010-07-12 13:12:11+00:00,MODIFY,commons-io,commons-io,1.4,3,3,1
e476e966bd46156f8b9e4baf65484390c8959aa2,2016-11-21 19:02:32+01:00,MODIFY,commons-io,commons-io,2.5,1,1,1
55d7ea017ae3a748e49eacb1e77c5af4952de461,2020-06-10 11:25:30+02:00,MODIFY,commons-io,commons-io,2.7,5,5,1
1a67248b927cf19cd93ec1760ccaec0ec2f1601a,2016-11-21 19:02:32+01:00,MODIFY,org.apache.commons,commons-lang3,3.4,7,1,1
55d7ea017ae3a748e49eacb1e77c5af4952de461,2020-06-10 11:25:30+02:00,MODIFY,org.apache.commons,commons-lang3,3.10,5,5,1
667743c87ad113ee4a91904c6df9fdaba0d7bcc8,2011-03-20 22:37:56+00:00,MODIFY,net.sf.ehcache,ehcache-core,2.4.0,408,126,5
1e7610ede6e604341724bd9f5eef4cac424e8519,2014-10-27 16:15:30+00:00,MODIFY,net.sf.ehcache,ehcache-core,2.5.1,1,1,1
667743c87ad113ee4a91904c6df9fdaba0d7bcc8,2011-03-20 22:37:56+00:00,MODIFY,net.sf.ehcache,ehcache-web,2.0.3,408,126,5
667743c87ad113ee4a91904c6df9fdaba0d7bcc8,2011-03-20 22:37:56+00:00,MODIFY,org.slf4j,slf4j-api,1.6.1,408,126,5
feb80fb05843c0aa3fa5396523a9a82e2992532a,2021-10-07 13:32:54+02:00,MODIFY,org.apache.logging.log4j,log4j-api,2.14.1,432,510,32
acddbada0de71f5aedff5e9ed13b077d34a4ce2c,2021-12-10 15:52:16+01:00,MODIFY,org.apache.logging.log4j,log4j-api,2.15.0,6,6,1
b782c9464f7317c5d8b94d6de44f812baaa610b8,2021-12-15 15:21:04+01:00,MODIFY,org.apache.logging.log4j,log4j-api,2.16.0,7,7,1
6efb9070da1a453edb66bd8c05da1414ac77d355,2021-12-20 11:42:48+01:00,MODIFY,org.apache.logging.log4j,log4j-api,2.17.0,6,6,1
feb80fb05843c0aa3fa5396523a9a82e2992532a,2021-10-07 13:32:54+02:00,MODIFY,org.apache.logging.log4j,log4j-core,2.14.1,432,510,32
acddbada0de71f5aedff5e9ed13b077d34a4ce2c,2021-12-10 15:52:16+01:00,MODIFY,org.apache.logging.log4j,log4j-core,2.15.0,6,6,1
b782c9464f7317c5d8b94d6de44f812baaa610b8,2021-12-15 15:21:04+01:00,MODIFY,org.apache.logging.log4j,log4j-core,2.16.0,7,7,1
6efb9070da1a453edb66bd8c05da1414ac77d355,2021-12-20 11:42:48+01:00,MODIFY,org.apache.logging.log4j,log4j-core,2.17.0,6,6,1
feb80fb05843c0aa3fa5396523a9a82e2992532a,2021-10-07 13:32:54+02:00,MODIFY,org.apache.logging.log4j,log4j-web,2.14.1,432,510,32
acddbada0de71f5aedff5e9ed13b077d34a4ce2c,2021-12-10 15:52:16+01:00,MODIFY,org.apache.logging.log4j,log4j-web,2.15.0,6,6,1
b782c9464f7317c5d8b94d6de44f812baaa610b8,2021-12-15 15:21:04+01:00,MODIFY,org.apache.logging.log4j,log4j-web,2.16.0,7,7,1
6efb9070da1a453edb66bd8c05da1414ac77d355,2021-12-20 11:42:48+01:00,MODIFY,org.apache.logging.log4j,log4j-web,2.17.0,6,6,1
feb80fb05843c0aa3fa5396523a9a82e2992532a,2021-10-07 13:32:54+02:00,MODIFY,org.apache.logging.log4j,log4j-slf4j-impl,2.14.1,432,510,32
acddbada0de71f5aedff5e9ed13b077d34a4ce2c,2021-12-10 15:52:16+01:00,MODIFY,org.apache.logging.log4j,log4j-slf4j-impl,2.15.0,6,6,1
b782c9464f7317c5d8b94d6de44f812baaa610b8,2021-12-15 15:21:04+01:00,MODIFY,org.apache.logging.log4j,log4j-slf4j-impl,2.16.0,7,7,1
6efb9070da1a453edb66bd8c05da1414ac77d355,2021-12-20 11:42:48+01:00,MODIFY,org.apache.logging.log4j,log4j-slf4j-impl,2.17.0,6,6,1
feb80fb05843c0aa3fa5396523a9a82e2992532a,2021-10-07 13:32:54+02:00,MODIFY,org.apache.logging.log4j,log4j-1.2-api,2.14.1,432,510,32
acddbada0de71f5aedff5e9ed13b077d34a4ce2c,2021-12-10 15:52:16+01:00,MODIFY,org.apache.logging.log4j,log4j-1.2-api,2.15.0,6,6,1
b782c9464f7317c5d8b94d6de44f812baaa610b8,2021-12-15 15:21:04+01:00,MODIFY,org.apache.logging.log4j,log4j-1.2-api,2.16.0,7,7,1
6efb9070da1a453edb66bd8c05da1414ac77d355,2021-12-20 11:42:48+01:00,MODIFY,org.apache.logging.log4j,log4j-1.2-api,2.17.0,6,6,1
feb80fb05843c0aa3fa5396523a9a82e2992532a,2021-10-07 13:32:54+02:00,MODIFY,org.apache.logging.log4j,log4j-jcl,2.14.1,432,510,32
acddbada0de71f5aedff5e9ed13b077d34a4ce2c,2021-12-10 15:52:16+01:00,MODIFY,org.apache.logging.log4j,log4j-jcl,2.15.0,6,6,1
b782c9464f7317c5d8b94d6de44f812baaa610b8,2021-12-15 15:21:04+01:00,MODIFY,org.apache.logging.log4j,log4j-jcl,2.16.0,7,7,1
6efb9070da1a453edb66bd8c05da1414ac77d355,2021-12-20 11:42:48+01:00,MODIFY,org.apache.logging.log4j,log4j-jcl,2.17.0,6,6,1
40650db6d8ee754d3e8670eac525a5360f022061,2012-10-30 14:09:57+00:00,MODIFY,org.jsoup,jsoup,1.7.1,314,112,6
f26c5f962ffb04c9d111cfa4be6c3db632e298c2,2016-11-21 19:02:32+01:00,MODIFY,org.jsoup,jsoup,1.10.1,1,1,1
55d7ea017ae3a748e49eacb1e77c5af4952de461,2020-06-10 11:25:30+02:00,MODIFY,org.jsoup,jsoup,1.10.3,5,5,1
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,mysql,mysql-connector-java,5.0.5,137417,0,1534
06b42fcc7169ec0ca2ec39847689eac8ceb39592,2008-12-10 16:47:01+00:00,MODIFY,mysql,mysql-connector-java,5.1.6,6,1,1
f2d803863635aef3273e0796249fc45eaa0fe903,2010-03-15 14:08:47+00:00,MODIFY,mysql,mysql-connector-java,5.1.12,15,13,2
94b01e84bc315703d94d65675789cfefe489d6aa,2012-01-06 12:52:04+00:00,MODIFY,mysql,mysql-connector-java,5.1.18,1,1,1
1bb987472e6194cadce9da928592bfe0cc9aa3c3,2016-11-21 19:00:57+01:00,MODIFY,mysql,mysql-connector-java,5.1.40,8,10,3
d7ecb961104c4a8d999ffd1009862fce08026e2c,2018-12-10 18:09:16+01:00,MODIFY,mysql,mysql-connector-java,mysql.version,3,3,2
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,org.springframework,spring-aop,2.0.5,137417,0,1534
6f6164227960f2a29005759bda166fed7103a5ed,2008-12-04 15:23:44+00:00,MODIFY,org.springframework,spring-aop,2.5.6,4,4,1
649b1d70236445c34bfa03176a348e3020adb3ec,2010-03-08 11:00:10+00:00,MODIFY,org.springframework,spring-aop,3.0.1.RELEASE,4,9,1
074f0fd3d927396c896e5321cb1950a31e81501c,2010-06-08 13:21:42+00:00,MODIFY,org.springframework,spring-aop,3.0.2.RELEASE,1,1,1
b220c40c54fb0e77be085db96d4003283eb7d305,2010-06-21 09:07:14+00:00,MODIFY,org.springframework,spring-aop,3.0.3.RELEASE,1,1,1
5edd87cba106ae36d9edcff8ac8fdc33ba42c8d6,2010-11-08 09:45:09+00:00,MODIFY,org.springframework,spring-aop,3.0.5.RELEASE,1,1,1
427178790bffc4277ce3bb470e2f8e1ff8be7cee,2012-01-06 11:38:04+00:00,MODIFY,org.springframework,spring-aop,3.1.0.RELEASE,1,1,1
1bb987472e6194cadce9da928592bfe0cc9aa3c3,2016-11-21 19:00:57+01:00,MODIFY,org.springframework,spring-aop,4.3.3.RELEASE,8,10,3
e24ea1fcbddf4654381bbb37b4310abc204d7a44,2019-03-26 16:45:15+01:00,MODIFY,org.springframework,spring-aop,4.3.22.RELEASE,2,2,1
f1839ed67cd5ea9194cc84bff7e9282613e453b5,2020-06-11 15:36:35+02:00,MODIFY,org.springframework,spring-aop,4.3.27.RELEASE,57,63,1
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,org.springframework,spring-beans,2.0.5,137417,0,1534
6f6164227960f2a29005759bda166fed7103a5ed,2008-12-04 15:23:44+00:00,MODIFY,org.springframework,spring-beans,2.5.6,4,4,1
649b1d70236445c34bfa03176a348e3020adb3ec,2010-03-08 11:00:10+00:00,MODIFY,org.springframework,spring-beans,3.0.1.RELEASE,4,9,1
074f0fd3d927396c896e5321cb1950a31e81501c,2010-06-08 13:21:42+00:00,MODIFY,org.springframework,spring-beans,3.0.2.RELEASE,1,1,1
b220c40c54fb0e77be085db96d4003283eb7d305,2010-06-21 09:07:14+00:00,MODIFY,org.springframework,spring-beans,3.0.3.RELEASE,1,1,1
5edd87cba106ae36d9edcff8ac8fdc33ba42c8d6,2010-11-08 09:45:09+00:00,MODIFY,org.springframework,spring-beans,3.0.5.RELEASE,1,1,1
427178790bffc4277ce3bb470e2f8e1ff8be7cee,2012-01-06 11:38:04+00:00,MODIFY,org.springframework,spring-beans,3.1.0.RELEASE,1,1,1
1bb987472e6194cadce9da928592bfe0cc9aa3c3,2016-11-21 19:00:57+01:00,MODIFY,org.springframework,spring-beans,4.3.3.RELEASE,8,10,3
e24ea1fcbddf4654381bbb37b4310abc204d7a44,2019-03-26 16:45:15+01:00,MODIFY,org.springframework,spring-beans,4.3.22.RELEASE,2,2,1
f1839ed67cd5ea9194cc84bff7e9282613e453b5,2020-06-11 15:36:35+02:00,MODIFY,org.springframework,spring-beans,4.3.27.RELEASE,57,63,1
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,org.springframework,spring-context,2.0.5,137417,0,1534
6f6164227960f2a29005759bda166fed7103a5ed,2008-12-04 15:23:44+00:00,MODIFY,org.springframework,spring-context,2.5.6,4,4,1
649b1d70236445c34bfa03176a348e3020adb3ec,2010-03-08 11:00:10+00:00,MODIFY,org.springframework,spring-context,3.0.1.RELEASE,4,9,1
074f0fd3d927396c896e5321cb1950a31e81501c,2010-06-08 13:21:42+00:00,MODIFY,org.springframework,spring-context,3.0.2.RELEASE,1,1,1
b220c40c54fb0e77be085db96d4003283eb7d305,2010-06-21 09:07:14+00:00,MODIFY,org.springframework,spring-context,3.0.3.RELEASE,1,1,1
5edd87cba106ae36d9edcff8ac8fdc33ba42c8d6,2010-11-08 09:45:09+00:00,MODIFY,org.springframework,spring-context,3.0.5.RELEASE,1,1,1
427178790bffc4277ce3bb470e2f8e1ff8be7cee,2012-01-06 11:38:04+00:00,MODIFY,org.springframework,spring-context,3.1.0.RELEASE,1,1,1
1bb987472e6194cadce9da928592bfe0cc9aa3c3,2016-11-21 19:00:57+01:00,MODIFY,org.springframework,spring-context,4.3.3.RELEASE,8,10,3
e24ea1fcbddf4654381bbb37b4310abc204d7a44,2019-03-26 16:45:15+01:00,MODIFY,org.springframework,spring-context,4.3.22.RELEASE,2,2,1
f1839ed67cd5ea9194cc84bff7e9282613e453b5,2020-06-11 15:36:35+02:00,MODIFY,org.springframework,spring-context,4.3.27.RELEASE,57,63,1
89469a442f832f9b96089c8ccc4c501f9bbc366c,2007-09-21 14:32:19+00:00,ADD,org.springframework,spring-core,2.0.5,137417,0,1534
6f6164227960f2a29005759bda166fed7103a5ed,2008-12-04 15:23:44+00:00,MODIFY,org.springframework,spring-core,2.5.6,4,4,1
f2d803863635aef3273e0796249fc45eaa0fe903,2010-03-15 14:08:47+00:00,MODIFY,org.springframework,spring-core,3.0.1.RELEASE,15,13,2
074f0fd3d927396c896e5321cb1950a31e81501c,2010-06-08 13:21:42+00:00,MODIFY,org.springframework,spring-core,3.0.2.RELEASE,1,1,1
b220c40c54fb0e77be085db96d4003283eb7d305,2010-06-21 09:07:14+00:00,MODIFY,org.springframework,spring-core,3.0.3.RELEASE,1,1,1
5edd87cba106ae36d9edcff8ac8fdc33ba42c8d6,2010-11-08 09:45:09+00:00,MODIFY,org.springframework,spring-core,3.0.5.RELEASE,1,1,1
427178790bffc4277ce3bb470e2f8e1ff8be7cee,2012-01-06 11:38:04+00:00,MODIFY,org.springframework,spring-core,3.1.0.RELEASE,1,1,1
1bb987472e6194cadce9da928592bfe0cc9aa3c3,2016-11-21 19:00:57+01:00,MODIFY,org.springframework,spring-core,4.3.3.RELEASE,8,10,3
e24ea1fcbddf4654381bbb37b4310abc204d7a44,2019-03-26 16:45:15+01:00,MODIFY,org.springframework,spring-core,4.3.22.RELEASE,2,2,1
